id,brand,x,y,name,category,likes,talking
70,Dolce_Gabbana,11.94156418,26.83631201,Dolce_Gabbana,Clothing,5526395,82765
71,Zegna,11.74192728,26.40044246,Zegna,Clothing,88846,3669
72,Gucci,11.88220634,27.39859412,Gucci,Clothing,8557580,181819
73,HUGO_BOSS,11.92082397,26.10157213,HUGO_BOSS,Clothing,2429709,59438
74,Lanc_me_US,5.871591191,29.98088947,Lanc_me_US,Product_service,909292,61231
75,Marc_Jacobs_Intl,10.97795364,27.17224318,Marc_Jacobs_Intl,Clothing,724930,14548
76,Ferrari,11.16536781,-1.071452394,Ferrari,Cars,8718161,267704
77,Ralph_Lauren,10.67681425,26.80082718,Ralph_Lauren,Clothing,5039999,33080
78,Sephora,5.434636412,31.83321076,Sephora,Health_beauty,3586660,44028
79,The_Official_Shiseido_USA_Page,5.381555647,29.87040167,The_Official_Shiseido_USA_Page,Health_beauty,133037,2917
80,The_Body_Shop_USA,4.29144214,30.25534731,The_Body_Shop_USA,Product_service,135436,1114
81,Michele_Bachmann,-27.51505985,-17.66223487,Michele_Bachmann,Politician,462964,11464
82,Arizona_Athletics,-14.37994104,2.861312277,Arizona_Athletics,School_sports_team,27994,19448
83,University_of_Arkansas_at_Little_Rock,-3.691818115,-20.39102433,University_of_Arkansas_at_Little_Rock,University,8610,172
84,BYU_Cougar_Basketball,-15.65718187,3.690919712,BYU_Cougar_Basketball,School_sports_team,51811,408
85,University_of_Cincinnati_Bearcats,-24.68957674,11.63248735,University_of_Cincinnati_Bearcats,School_sports_team,114457,1927
86,Clemson_Athletics,-26.85116826,4.169277642,Clemson_Athletics,School_sports_team,78607,879
87,UConn_Huskies,-13.93103977,7.565059588,UConn_Huskies,School_sports_team,52526,572
88,Duke_Blue_Devils_Athletics,-13.18075913,8.916567574,Duke_Blue_Devils_Athletics,School_sports_team,390737,4798
89,Florida_Gators,-19.52002465,-0.868309847,Florida_Gators,School_sports_team,982629,9551
90,Florida_State_Seminoles,-19.53414319,-0.85328245,Florida_State_Seminoles,School_sports_team,235201,5655
91,Georgia_Bulldogs,-27.10542888,4.382194612,Georgia_Bulldogs,School_sports_team,418194,4435
92,Gonzaga_Bulldogs_Official_Site,2.427235127,9.20220541,Gonzaga_Bulldogs_Official_Site,School_sports_team,25421,1807
93,Fighting_Illini_Basketball,1.670574117,22.59396189,Fighting_Illini_Basketball,School_sports_team,67460,2392
94,Indiana_State_Sycamores,-9.309894536,8.868258951,Indiana_State_Sycamores,School_sports_team,7229,72
95,University_of_Kansas_Athletics_Home_of_the_Jayhawks_,-8.636130553,8.958146151,University_of_Kansas_Athletics_Home_of_the_Jayhawks_,School_sports_team,97044,15415
96,Kentucky_Wildcats,-24.92697947,10.50579057,Kentucky_Wildcats,School_sports_team,639462,3520
97,Louisville_Cardinals,-9.260756254,8.614195229,Louisville_Cardinals,School_sports_team,130659,3415
98,Marquette_Golden_Eagles_Official_Site,-27.24479816,-4.857634794,Marquette_Golden_Eagles_Official_Site,School_sports_team,21569,476
99,University_of_Memphis,-26.35264579,2.254617455,University_of_Memphis,Education,25716,297
100,Michigan_Basketball,-12.0155978,3.005234661,Michigan_Basketball,School_sports_team,57057,3789
101,Michigan_State_Spartans,-11.85874398,2.844705012,Michigan_State_Spartans,School_sports_team,394433,7656
102,North_Carolina_Tar_Heels,-22.22678815,-1.288797695,North_Carolina_Tar_Heels,School_sports_team,605885,3205
103,Notre_Dame_Athletics,-9.445263595,6.565076956,Notre_Dame_Athletics,School_sports_team,232963,9185
104,Ohio_State_Buckeyes,-22.09216921,11.63183315,Ohio_State_Buckeyes,School_sports_team,1233643,48621
105,Old_Dominion_University_Athletics,-13.57265208,9.901879656,Old_Dominion_University_Athletics,School_sports_team,6468,147
106,Penn_State_Nittany_Lions,-15.57724186,13.30738426,Penn_State_Nittany_Lions,School_sports_team,210978,648
107,Pitt_Panthers,-15.97145993,12.51647945,Pitt_Panthers,School_sports_team,80360,830
108,Purdue_Athletics,-9.624355172,8.699970187,Purdue_Athletics,School_sports_team,30746,1112
109,St_John_s_Red_Storm,-15.06452413,6.535307074,St_John_s_Red_Storm,School_sports_team,16583,63
110,San_Diego_State_University_Athletics,-0.5570825,-12.48707523,San_Diego_State_University_Athletics,School_sports_team,15410,305
111,Syracuse_Orange,-15.03221684,6.742026305,Syracuse_Orange,School_sports_team,202755,913
112,Tennessee_Volunteers_Athletics,-28.56207579,1.728586514,Tennessee_Volunteers_Athletics,School_sports_team,237130,10353
113,Texas_Longhorns,-35.41749068,-3.707759714,Texas_Longhorns,School_sports_team,951429,7912
114,Aggie_Athletics,-35.5742604,-3.66710363,Aggie_Athletics,School_sports_team,124338,4834
115,UCLA_Athletics,0.866258424,-12.30441174,UCLA_Athletics,School_sports_team,136491,2755
116,USC_Trojans_Official_Page,0.525303431,-12.4090881,USC_Trojans_Official_Page,School_sports_team,129219,9165
117,Tim_Pawlenty,-26.78863476,-17.606137,Tim_Pawlenty,Politician,99916,73
118,Vanderbilt_University_Athletics,-28.46089646,1.465504067,Vanderbilt_University_Athletics,School_sports_team,18135,310
119,VCU_Athletics,-13.12019191,9.600927153,VCU_Athletics,Amateur_sports_team,14727,155
120,Washington_Huskies_Athletics,3.26347026,9.451365652,Washington_Huskies_Athletics,School_sports_team,175836,6918
121,West_Virginia_University,-13.36533333,9.970568791,West_Virginia_University,University,172083,10647
122,Wisconsin_Badgers,-27.71903631,-4.820172874,Wisconsin_Badgers,School_sports_team,412377,4191
123,Harvard_University,-5.343789748,-12.30010352,Harvard_University,University,1807966,21477
